author,date,text
ric16dan,2020-11-01 15:22:21,"RT @RealJamesWoods: 58,000 showed up for President Trump in Butler, PA.  Those are rock star numbers. Biden literally can’t fill a minivan.…"
tomasin29692798,2020-11-01 15:22:20,"@nogg_the @realDonaldTrump Or lock up the trump crime family, either way https://t.co/RgQ3XnlEwT"
trumpgirl290,2020-11-01 15:22:20,Of course we are because the @realDonaldTrump mania is real!! GOD BLESS THE TRUMPS!!! 🥰🥰
zee5cats,2020-11-01 15:22:21,"RT @mikandynothem: While @realDonaldTrump was tearing it up at FOUR rallies yesterday, drawing multiple thousands to each event, Joe and Ba…"
Mike_Philipps4,2020-11-01 15:22:20,Yep
SherryWhy1,2020-11-01 15:22:21,#WeLoveTrump
ItsGoodToVent,2020-11-01 15:22:21,"@realDonaldTrump Every bit of this is a lie. If you believe this, you’re not very smart."
Marleymom,2020-11-01 15:22:21,RT @GeorgeTakei: So we are calling Trump truck caravan thugs “Y’all Qaeda” right? Because it’s so fitting.
mmeyer115comcas,2020-11-01 15:22:21,RT @jilevin: Trump Tweets Out Support For MAGA Fans Who Swarmed Biden's Bus In Texas https://t.co/ON9TPEUgvK
BradMorgan27,2020-11-01 15:22:21,"@jmartNYT White NC Voters: 

57% trump 

38% Biden

Black NC voters

5% trump 

88% Biden"
DerekMondelli,2020-11-01 15:22:21,RT @realDonaldTrump: .@Facebook  Put them back NOW! https://t.co/eLgs5viXKp
TAPaksi,2020-11-01 15:22:21,"RT @iamwandasykes: Trump just RT the video from TX of his supporters running the #BidenHarris motorcade out of town, along w/ “I LOVE TEXAS…"
azme13,2020-11-01 15:22:21,Another asskisser in the long line of Trump asskissers. No actual experience in Epidemiology
txguajolote,2020-11-01 15:22:21,RT @MeidasTouch: Disgusting. Donald Trump is now encouraging violence against Joe Biden. We must defeat Trump's terrorism and hold him acco…
SweetSueSweet17,2020-11-01 15:22:21,"RT @GOP: .@realDonaldTrump fought the establishment—&amp; won!
 
For too long, politicians ignored the needs of MILLIONS of working-class Ameri…"
Towle193,2020-11-01 15:22:21,@sueyellin @SenatorCollins @realDonaldTrump @SaraGideon Yet flu is down 95% 😳
pelotoncrna,2020-11-01 15:22:21,RT @marklevinshow: BIG endorsement
HappyKarma2,2020-11-01 15:22:21,@RyanMFR2001 @prospern23 @mmurraypolitics OK. I figure you’re young so I’ll let that slide because you sound like I… https://t.co/vyYEwMVpuM
Jan64190852,2020-11-01 15:22:21,RT @DonaldJTrumpJr: When you watch what the Media &amp; Big Tech have done to suppress basic information harmful to Biden and boost lies about…
morris_skido,2020-11-01 15:22:21,RT @realFFK: U.S. forces rescued an American citizen held hostage in Nigeria yesterday.6 captors were killed by the Americans. Congrats to…
eli_bomaye,2020-11-01 15:22:21,"RT @PpollingNumbers: Florida Poll:

Biden 51% (+4)
Trump 47%

RMG Research 
(LV, 10/28-10/30)"
Rightinmanyways,2020-11-01 15:22:21,RT @m1dn7ghtrider: Here is a good topic for the Trump Jumbotron! #Obidenscandals @realDonaldTrump https://t.co/lC50ukCQ5z
LHHeinzUSA,2020-11-01 15:22:21,"RT @TeamTrump: First Lady Melania Trump: “We are a country of hope, not a country of fear or weakness.” https://t.co/9n1841cdA6"
alecrieger,2020-11-01 15:22:21,It pains me to say this but I’d hate to be in a fox hole with the average democrat on Twitter
owlsvaultstone,2020-11-01 15:22:21,RT @ACTBrigitte: Is Pennsylvania going to go red for President Trump again?!
teb22696,2020-11-01 15:22:21,🇺🇸🇺🇸🇺🇸🇺🇸
bremishome,2020-11-01 15:22:21,@realDonaldTrump https://t.co/rbXonc9OQi
WakeUpA96071267,2020-11-01 15:22:21,@kayleighmcenany @realDonaldTrump WHO CARES!! When they named it Pittsburgh they misspelled it. It should've been n… https://t.co/x6qvl18RGN
guynoir4,2020-11-01 15:22:21,"RT @HRHAdeyemiAdams: @AngrierWHStaff [Trump Rally Today]
Bus Company Supervisor: The campaign said they would pay us when we arrived. Nobod…"
Mitchplayzxhd,2020-11-01 15:22:21,"RT @GOP: “From Day One, Washington Insiders have been trying to stop me because they do not own me and they do not control me.” -@realDonal…"
Boomhauer17,2020-11-01 15:22:21,@seanhannity tRUMP has a Chinese bank account!!!
CristyAwakening,2020-11-01 15:22:21,"RT @Qtah17: There’s a perfect storm brewing ⛈

Expert on Trump Win: Prepare for Thousands to Storm White House. https://t.co/eYT8JvJ6kw"
paulaspaulatics,2020-11-01 15:22:21,"If he was this arrogant and insulting as a kid, you know no one showed up..."
MarleneClarkin,2020-11-01 15:22:21,"RT @robertjdenault: Trying to throw out 100,000 votes in Texas because voters stayed in cars to avoid Covid. Mailrooms in Miami full of bal…"
MaurerPatty,2020-11-01 15:22:21,"RT @RubinReport: How strange. No violence, no anger, no burned down stores and no assaulted motorists. Just tons happy, patriotic people ex…"
shc902,2020-11-01 15:22:21,"RT @SANJOSEMAILMAN: I was thinking of all of the people, that have been infected with Covid....that were in tRump's orbit.  They all seem t…"
SarahMya2000,2020-11-01 15:22:21,"@realDonaldTrump All of #NorthDakota has 16 ICU beds;14 are full.Almost 1% of population got sick *last week*

“The… https://t.co/mayAgYV6ba"
AndersLezlie,2020-11-01 15:22:21,RT @ZemanLynnZ: @realDonaldTrump #RepublicansForBiden #Vote  #RepublicansForBiden #Vote  #RepublicansForBiden #Vote  #RepublicansForBiden #…
montajaime,2020-11-01 15:22:21,"RT @ArgiroCasta58: Mañana gana mi compadre Donald Trump !! Vamos hacer una rumba Vallenata con Old Parr , yuca salada y chicharrón ... no m…"
IzzyG1217,2020-11-01 15:22:21,RT @EricHolder: Record turnout in Texas does not absolve Republicans there for what they did in trying to suppress the vote.  Remember this…
fireman62286,2020-11-01 15:22:21,RT @gomindy17: @KatyVotingBlue @ProjectLincoln @realDonaldTrump @FBI get on this ASAP. Inciting violence and violation against free politic…
SteveZ84942386,2020-11-01 15:22:21,@samstein @HCTrudo Your assumption is baloney. Biden is who Biden is. He did not adjust to be the opposite of Trump… https://t.co/Ey9rHBhDVW
PatriotsInUnity,2020-11-01 15:22:21,RT @PatriotsInUnity: @realDonaldTrump https://t.co/GZcKGBNMB7
